message,attributes,tags,timestamp
[2025-12-02 03:43:03 +0000] [1] [INFO] Using worker: sync,"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.786558147Z
[2025-12-02 03:43:03 +0000] [2] [INFO] Booting worker with pid: 2,"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.786567768Z
[2025-12-02 03:43:03 +0000] [2] [ERROR] Exception in worker process,"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.786576483Z
"  File ""/app/.venv/lib/python3.12/site-packages/gunicorn/app/base.py"", line 67, in wsgi","{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.786577456Z
    self.callable = self.load(),"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.786584598Z
Traceback (most recent call last):,"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.786586515Z
                    ^^^^^^^^^^^,"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.786590699Z
"  File ""/app/.venv/lib/python3.12/site-packages/gunicorn/arbiter.py"", line 609, in spawn_worker","{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.786595482Z
"  File ""/app/.venv/lib/python3.12/site-packages/gunicorn/app/wsgiapp.py"", line 58, in load","{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.786597576Z
    return self.load_wsgiapp(),"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.786602855Z
           ^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.786607546Z
"  File ""/app/.venv/lib/python3.12/site-packages/gunicorn/app/wsgiapp.py"", line 48, in load_wsgiapp","{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.786615300Z
    worker.init_process(),"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.786783449Z
"  File ""/app/.venv/lib/python3.12/site-packages/gunicorn/workers/base.py"", line 134, in init_process","{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.786792102Z
    self.load_wsgi(),"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.786799400Z
    return util.import_app(self.app_uri),"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.790009559Z
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""9997ce68-e102-4270-a814-691e96074da1"",""replica"":""28e78b39-9218-497b-9852-669cad5d712b""}",2025-12-02T03:43:03.790013482Z
